ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,10,10
2022-09-19 19:00:00,47,47
2022-09-19 19:30:00,83,83
2022-09-19 20:00:00,64,64
2022-09-19 20:30:00,66,66
2022-09-19 21:00:00,61,61
2022-09-19 21:30:00,29,29
2022-09-26 18:30:00,7,7
2022-09-26 19:00:00,41,41
2022-09-26 19:30:00,91,91
2022-09-26 20:00:00,86,86
2022-09-26 20:30:00,77,77
2022-09-26 21:00:00,54,54
2022-09-26 21:30:00,14,14
2022-12-09 18:30:00,6,6
2022-12-09 19:00:00,42,42
2022-12-09 19:30:00,100,100
2022-12-09 20:00:00,82,82
2022-12-09 20:30:00,66,66
2022-12-09 21:00:00,61,61
2022-12-09 21:30:00,20,20
