ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,7,7
2022-09-19 19:00:00,48,48
2022-09-19 19:30:00,97,97
2022-09-19 20:00:00,92,92
2022-09-19 20:30:00,76,76
2022-09-19 21:00:00,46,46
2022-09-19 21:30:00,24,24
2022-09-26 18:30:00,10,10
2022-09-26 19:00:00,44,44
2022-09-26 19:30:00,92,92
2022-09-26 20:00:00,102,102
2022-09-26 20:30:00,68,68
2022-09-26 21:00:00,46,46
2022-09-26 21:30:00,18,18
2022-12-09 18:30:00,10,10
2022-12-09 19:00:00,65,65
2022-12-09 19:30:00,99,99
2022-12-09 20:00:00,66,66
2022-12-09 20:30:00,72,72
2022-12-09 21:00:00,44,44
2022-12-09 21:30:00,15,15
