ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,5,5
2022-09-19 19:00:00,43,43
2022-09-19 19:30:00,61,61
2022-09-19 20:00:00,80,80
2022-09-19 20:30:00,45,45
2022-09-19 21:00:00,37,37
2022-09-19 21:30:00,11,11
2022-09-26 18:30:00,1,1
2022-09-26 19:00:00,52,52
2022-09-26 19:30:00,85,85
2022-09-26 20:00:00,73,73
2022-09-26 20:30:00,51,51
2022-09-26 21:00:00,36,36
2022-09-26 21:30:00,15,15
2022-12-09 18:30:00,3,3
2022-12-09 19:00:00,36,36
2022-12-09 19:30:00,81,81
2022-12-09 20:00:00,75,75
2022-12-09 20:30:00,55,55
2022-12-09 21:00:00,44,44
2022-12-09 21:30:00,18,18
