ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,3,3
2022-09-19 19:00:00,19,19
2022-09-19 19:30:00,61,61
2022-09-19 20:00:00,60,60
2022-09-19 20:30:00,49,49
2022-09-19 21:00:00,36,36
2022-09-19 21:30:00,11,11
2022-09-26 18:30:00,2,2
2022-09-26 19:00:00,30,30
2022-09-26 19:30:00,47,47
2022-09-26 20:00:00,58,58
2022-09-26 20:30:00,44,44
2022-09-26 21:00:00,29,29
2022-09-26 21:30:00,6,6
2022-12-09 18:30:00,4,4
2022-12-09 19:00:00,31,31
2022-12-09 19:30:00,63,63
2022-12-09 20:00:00,51,51
2022-12-09 20:30:00,51,51
2022-12-09 21:00:00,33,33
2022-12-09 21:30:00,14,14
