ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,3,3
2022-09-19 19:00:00,42,42
2022-09-19 19:30:00,64,64
2022-09-19 20:00:00,66,66
2022-09-19 20:30:00,34,34
2022-09-19 21:00:00,34,34
2022-09-19 21:30:00,15,15
2022-09-26 18:30:00,4,4
2022-09-26 19:00:00,37,37
2022-09-26 19:30:00,74,74
2022-09-26 20:00:00,55,55
2022-09-26 20:30:00,44,44
2022-09-26 21:00:00,35,35
2022-09-26 21:30:00,14,14
2022-12-09 18:30:00,4,4
2022-12-09 19:00:00,40,40
2022-12-09 19:30:00,68,68
2022-12-09 20:00:00,60,60
2022-12-09 20:30:00,52,52
2022-12-09 21:00:00,36,36
2022-12-09 21:30:00,27,27
