ScanTime,Bathroom,Entrance
2022-09-19 18:30:00,4,4
2022-09-19 19:00:00,39,39
2022-09-19 19:30:00,64,64
2022-09-19 20:00:00,65,65
2022-09-19 20:30:00,50,50
2022-09-19 21:00:00,42,42
2022-09-19 21:30:00,7,7
2022-09-26 18:30:00,4,4
2022-09-26 19:00:00,28,28
2022-09-26 19:30:00,62,62
2022-09-26 20:00:00,58,58
2022-09-26 20:30:00,48,48
2022-09-26 21:00:00,43,43
2022-09-26 21:30:00,10,10
2022-12-09 18:30:00,4,4
2022-12-09 19:00:00,29,29
2022-12-09 19:30:00,72,72
2022-12-09 20:00:00,70,70
2022-12-09 20:30:00,52,52
2022-12-09 21:00:00,48,48
2022-12-09 21:30:00,4,4
