TransactionTime,MerchandiseStand
2022-09-19 18:30:00,14
2022-09-19 19:00:00,44
2022-09-19 19:30:00,53
2022-09-19 20:00:00,51
2022-09-19 20:30:00,18
2022-09-19 21:00:00,23
2022-09-19 21:30:00,5
2022-09-26 18:30:00,8
2022-09-26 19:00:00,33
2022-09-26 19:30:00,54
2022-09-26 20:00:00,59
2022-09-26 20:30:00,40
2022-09-26 21:00:00,17
2022-09-26 21:30:00,7
2022-12-09 18:30:00,10
2022-12-09 19:00:00,40
2022-12-09 19:30:00,52
2022-12-09 20:00:00,59
2022-12-09 20:30:00,25
2022-12-09 21:00:00,21
2022-12-09 21:30:00,5
