TransactionTime,MerchandiseStand
2022-09-19 18:30:00,16
2022-09-19 19:00:00,36
2022-09-19 19:30:00,58
2022-09-19 20:00:00,60
2022-09-19 20:30:00,55
2022-09-19 21:00:00,38
2022-09-19 21:30:00,10
2022-09-26 18:30:00,8
2022-09-26 19:00:00,43
2022-09-26 19:30:00,59
2022-09-26 20:00:00,59
2022-09-26 20:30:00,56
2022-09-26 21:00:00,39
2022-09-26 21:30:00,15
2022-12-09 18:30:00,14
2022-12-09 19:00:00,45
2022-12-09 19:30:00,61
2022-12-09 20:00:00,60
2022-12-09 20:30:00,42
2022-12-09 21:00:00,34
2022-12-09 21:30:00,10
