TransactionTime,MerchandiseStand
2022-09-19 18:30:00,13
2022-09-19 19:00:00,46
2022-09-19 19:30:00,56
2022-09-19 20:00:00,60
2022-09-19 20:30:00,60
2022-09-19 21:00:00,60
2022-09-19 21:30:00,32
2022-09-26 18:30:00,11
2022-09-26 19:00:00,56
2022-09-26 19:30:00,60
2022-09-26 20:00:00,59
2022-09-26 20:30:00,60
2022-09-26 21:00:00,62
2022-09-26 21:30:00,32
2022-12-09 18:30:00,13
2022-12-09 19:00:00,55
2022-12-09 19:30:00,60
2022-12-09 20:00:00,59
2022-12-09 20:30:00,61
2022-12-09 21:00:00,60
2022-12-09 21:30:00,32
