TransactionTime,MerchandiseStand
2022-09-19 18:30:00,14
2022-09-19 19:00:00,41
2022-09-19 19:30:00,59
2022-09-19 20:00:00,61
2022-09-19 20:30:00,44
2022-09-19 21:00:00,29
2022-09-19 21:30:00,14
2022-09-26 18:30:00,18
2022-09-26 19:00:00,57
2022-09-26 19:30:00,59
2022-09-26 20:00:00,61
2022-09-26 20:30:00,52
2022-09-26 21:00:00,29
2022-09-26 21:30:00,14
2022-12-09 18:30:00,13
2022-12-09 19:00:00,45
2022-12-09 19:30:00,61
2022-12-09 20:00:00,60
2022-12-09 20:30:00,60
2022-12-09 21:00:00,47
2022-12-09 21:30:00,17
