TransactionTime,MerchandiseStand
2022-09-19 18:30:00,16
2022-09-19 19:00:00,53
2022-09-19 19:30:00,62
2022-09-19 20:00:00,60
2022-09-19 20:30:00,59
2022-09-19 21:00:00,35
2022-09-19 21:30:00,11
2022-09-26 18:30:00,20
2022-09-26 19:00:00,54
2022-09-26 19:30:00,61
2022-09-26 20:00:00,60
2022-09-26 20:30:00,52
2022-09-26 21:00:00,31
2022-09-26 21:30:00,9
2022-12-09 18:30:00,20
2022-12-09 19:00:00,46
2022-12-09 19:30:00,61
2022-12-09 20:00:00,62
2022-12-09 20:30:00,59
2022-12-09 21:00:00,43
2022-12-09 21:30:00,13
