TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,73,73,73,73
2022-09-19 19:00:00,269,269,269,269
2022-09-19 19:30:00,328,328,328,328
2022-09-19 20:00:00,336,336,336,336
2022-09-19 20:30:00,330,330,330,330
2022-09-19 21:00:00,332,332,332,332
2022-09-19 21:30:00,66,66,66,66
2022-09-26 18:30:00,48,48,48,48
2022-09-26 19:00:00,285,285,285,285
2022-09-26 19:30:00,324,324,324,324
2022-09-26 20:00:00,321,321,321,321
2022-09-26 20:30:00,322,322,322,322
2022-09-26 21:00:00,339,339,339,339
2022-09-26 21:30:00,68,68,68,68
2022-12-09 18:30:00,79,79,79,79
2022-12-09 19:00:00,239,239,239,239
2022-12-09 19:30:00,336,336,336,336
2022-12-09 20:00:00,334,334,334,334
2022-12-09 20:30:00,330,330,330,330
2022-12-09 21:00:00,328,328,328,328
2022-12-09 21:30:00,38,38,38,38
