TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,50,50,50,50
2022-09-19 19:00:00,212,212,212,212
2022-09-19 19:30:00,294,294,294,294
2022-09-19 20:00:00,298,298,298,298
2022-09-19 20:30:00,278,278,278,278
2022-09-19 21:00:00,297,297,297,297
2022-09-19 21:30:00,15,15,15,15
2022-09-26 18:30:00,36,36,36,36
2022-09-26 19:00:00,226,226,226,226
2022-09-26 19:30:00,313,313,313,313
2022-09-26 20:00:00,287,287,287,287
2022-09-26 20:30:00,288,288,288,288
2022-09-26 21:00:00,273,273,273,273
2022-09-26 21:30:00,29,29,29,29
2022-12-09 18:30:00,57,57,57,57
2022-12-09 19:00:00,203,203,203,203
2022-12-09 19:30:00,314,314,314,314
2022-12-09 20:00:00,287,287,287,287
2022-12-09 20:30:00,277,277,277,277
2022-12-09 21:00:00,287,287,287,287
2022-12-09 21:30:00,4,4,4,4
