TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,54,54,54,54
2022-09-19 19:00:00,261,261,261,261
2022-09-19 19:30:00,289,289,289,289
2022-09-19 20:00:00,323,323,323,323
2022-09-19 20:30:00,289,289,289,289
2022-09-19 21:00:00,299,299,299,299
2022-09-19 21:30:00,173,173,173,173
2022-09-26 18:30:00,73,73,73,73
2022-09-26 19:00:00,236,236,236,236
2022-09-26 19:30:00,295,295,295,295
2022-09-26 20:00:00,312,312,312,312
2022-09-26 20:30:00,309,309,309,309
2022-09-26 21:00:00,295,295,295,295
2022-09-26 21:30:00,141,141,141,141
2022-12-09 18:30:00,47,47,47,47
2022-12-09 19:00:00,258,258,258,258
2022-12-09 19:30:00,313,313,313,313
2022-12-09 20:00:00,298,298,298,298
2022-12-09 20:30:00,298,298,298,298
2022-12-09 21:00:00,303,303,303,303
2022-12-09 21:30:00,160,160,160,160
