TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,57,57,57,57
2022-09-19 19:00:00,282,282,282,282
2022-09-19 19:30:00,317,317,317,317
2022-09-19 20:00:00,314,314,314,314
2022-09-19 20:30:00,299,299,299,299
2022-09-19 21:00:00,310,310,310,310
2022-09-19 21:30:00,167,167,167,167
2022-09-26 18:30:00,74,74,74,74
2022-09-26 19:00:00,282,282,282,282
2022-09-26 19:30:00,307,307,307,307
2022-09-26 20:00:00,322,322,322,322
2022-09-26 20:30:00,294,294,294,294
2022-09-26 21:00:00,314,314,314,314
2022-09-26 21:30:00,175,175,175,175
2022-12-09 18:30:00,71,71,71,71
2022-12-09 19:00:00,283,283,283,283
2022-12-09 19:30:00,314,314,314,314
2022-12-09 20:00:00,309,309,309,309
2022-12-09 20:30:00,312,312,312,312
2022-12-09 21:00:00,332,332,332,332
2022-12-09 21:30:00,161,161,161,161
