TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,106,106,106,106
2022-09-19 19:00:00,297,297,297,297
2022-09-19 19:30:00,313,313,313,313
2022-09-19 20:00:00,331,331,331,331
2022-09-19 20:30:00,326,326,326,326
2022-09-19 21:00:00,323,323,323,323
2022-09-19 21:30:00,148,148,148,148
2022-09-26 18:30:00,97,97,97,97
2022-09-26 19:00:00,335,335,335,335
2022-09-26 19:30:00,322,322,322,322
2022-09-26 20:00:00,327,327,327,327
2022-09-26 20:30:00,330,330,330,330
2022-09-26 21:00:00,296,296,296,296
2022-09-26 21:30:00,178,178,178,178
2022-12-09 18:30:00,111,111,111,111
2022-12-09 19:00:00,320,320,320,320
2022-12-09 19:30:00,318,318,318,318
2022-12-09 20:00:00,310,310,310,310
2022-12-09 20:30:00,326,326,326,326
2022-12-09 21:00:00,322,322,322,322
2022-12-09 21:30:00,169,169,169,169
