TransactionTime,ConcessionStand,TransactionID,Item,Quantity
2022-09-19 18:30:00,77,77,77,77
2022-09-19 19:00:00,296,296,296,296
2022-09-19 19:30:00,320,320,320,320
2022-09-19 20:00:00,304,304,304,304
2022-09-19 20:30:00,293,293,293,293
2022-09-19 21:00:00,300,300,300,300
2022-09-19 21:30:00,139,139,139,139
2022-09-26 18:30:00,105,105,105,105
2022-09-26 19:00:00,304,304,304,304
2022-09-26 19:30:00,324,324,324,324
2022-09-26 20:00:00,300,300,300,300
2022-09-26 20:30:00,279,279,279,279
2022-09-26 21:00:00,341,341,341,341
2022-09-26 21:30:00,105,105,105,105
2022-12-09 18:30:00,70,70,70,70
2022-12-09 19:00:00,246,246,246,246
2022-12-09 19:30:00,318,318,318,318
2022-12-09 20:00:00,318,318,318,318
2022-12-09 20:30:00,297,297,297,297
2022-12-09 21:00:00,310,310,310,310
2022-12-09 21:30:00,119,119,119,119
